site_id,site_name,timestamp,air_temp_c,air_humidity_pct,soil_moisture_pct,soil_temp_c,light_lux,soil_ph
S1,大田A区,2026-08-01 08:00:00,23.0,60.7,58.7,21.0,4542.0,6.47
S1,大田A区,2026-08-01 12:00:00,28.7,75.4,59.1,26.9,29042.0,6.85
S1,大田A区,2026-08-01 16:00:00,28.2,77.6,55.1,26.9,27499.0,6.63
S1,大田A区,2026-08-01 20:00:00,21.6,60.4,55.6,20.0,5658.0,6.65
S2,大田B区,2026-08-01 08:00:00,22.9,65.4,56.9,21.2,4573.0,6.8
S2,大田B区,2026-08-01 12:00:00,28.9,80.2,58.5,27.0,30351.0,6.36
S2,大田B区,2026-08-01 16:00:00,27.8,76.9,60.3,26.7,27705.0,6.41
S2,大田B区,2026-08-01 20:00:00,22.9,65.1,60.5,21.8,4409.0,6.37
S3,大田C区（低洼易涝）,2026-08-01 08:00:00,22.0,68.2,59.3,20.2,7544.0,6.46
S3,大田C区（低洼易涝）,2026-08-01 12:00:00,27.9,83.1,58.5,26.0,27416.0,6.56
S3,大田C区（低洼易涝）,2026-08-01 16:00:00,27.5,81.5,62.6,26.3,27926.0,6.34
S3,大田C区（低洼易涝）,2026-08-01 20:00:00,22.3,67.3,61.5,20.7,5570.0,6.26
S4,温室育苗区,2026-08-01 08:00:00,22.1,57.1,55.8,20.8,7322.0,6.17
S4,温室育苗区,2026-08-01 12:00:00,27.2,70.7,55.2,25.4,27361.0,6.49
S4,温室育苗区,2026-08-01 16:00:00,28.4,70.9,50.3,26.7,29507.0,6.48
S4,温室育苗区,2026-08-01 20:00:00,21.2,61.5,51.9,19.5,6748.0,6.56
S5,山坡试验田,2026-08-01 08:00:00,22.9,66.4,61.7,20.9,7070.0,6.27
S5,山坡试验田,2026-08-01 12:00:00,29.0,81.7,59.8,27.6,28722.0,6.45
S5,山坡试验田,2026-08-01 16:00:00,27.3,80.0,58.4,25.7,27668.0,6.19
S5,山坡试验田,2026-08-01 20:00:00,22.2,67.4,61.8,20.9,6727.0,6.29
S1,大田A区,2026-08-02 08:00:00,22.3,61.6,53.3,20.8,6559.0,6.2
